videoId,thumbnail,title,length,views,publish_time
HPjBY1H-U4U,https://i.ytimg.com/vi/HPjBY1H-U4U/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB0iU-Zchegx1tuTrWEmVNE7ZXU1w,TensorFlow Tutorial 2 - Tensor Basics,21:01,"71,775",1 year ago
bljgNwojUUc,https://i.ytimg.com/vi/bljgNwojUUc/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCsNFr4kA9RC8ooCPk300eSnyenag,Zero to Hero with TensorFlow (TF Fall 2020 Updates),15:19,"18,251",1 year ago
CxUc5FJF_9w,https://i.ytimg.com/vi/CxUc5FJF_9w/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDxoohV0OEJ8_-kaxMxWrt_u_jCXw,"TensorFlow in production: TF Extended, TF Hub, and TF Serving (Google I/O '18)",36:49,"13,131",4 years ago
pmsNVyrCh4A,https://i.ytimg.com/vi/pmsNVyrCh4A/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBUBSbuYXb7tcXo7RgRm1b8ltxWdw,High-Level APIs in TensorFlow 2.0 (TensorFlow Meets),4:29,"6,067",3 years ago
_u7AVsxANes,https://i.ytimg.com/vi/_u7AVsxANes/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBDKrWRqmcAqIPrqw4BkDBBCEcEnQ,TensorFlow Tutorial 16 - Custom Training Loops,8:10,"9,852",1 year ago
qTYQEXsBb_E,https://i.ytimg.com/vi/qTYQEXsBb_E/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBvL850XFAaof45Z2vuQmYWztoIQw,TensorFlow Eager Mode,3:20,"14,213",3 years ago
HxtBIwfy0kM,https://i.ytimg.com/vi/HxtBIwfy0kM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAW1Xi_MuZ-5XW4P8MDipDIoNwpkQ,Saving and Loading Models (Coding TensorFlow),6:53,"139,444",3 years ago
WcZ_1IAH_nM,https://i.ytimg.com/vi/WcZ_1IAH_nM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBdS7W9nU1U4ner4AQVy5k8H6M5RA,TensorFlow Tutorial 8 - Model Subclassing with Keras,22:59,"22,908",1 year ago
5ECD8J3dvDQ,https://i.ytimg.com/vi/5ECD8J3dvDQ/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB61djnOJn7tteFOTLRgdMVoXXZog,"Introduction to TensorFlow 2.0: Easier for beginners, and more powerful for experts (TF World '19)",40:56,"107,193",2 years ago
jh4ITuOytE4,https://i.ytimg.com/vi/jh4ITuOytE4/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBHr6EIaYhGcVqY8Ywgdk9oNll6ag,AutoGraph: Easy control flow for graphs (TensorFlow Tip of the Week),2:26,"8,529",3 years ago
tjsHSIG8I08,https://i.ytimg.com/vi/tjsHSIG8I08/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBMBtt8XJ_yo3oma85JHqT4LkUZ-Q,Get started with TensorFlow's High-Level APIs (Google I/O '18),39:30,"219,059",4 years ago
FB0Tlxf4mCs,https://i.ytimg.com/vi/FB0Tlxf4mCs/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBulgSTVAKLuDReiJIea5l_z1AAwA,2019 (March) Converting Code to Run on TensorFlow 2.0 (including Keras),16:35,"6,432",3 years ago
tzKqjPdAf8M,https://i.ytimg.com/vi/tzKqjPdAf8M/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBtk9QEh_ClqGwmwbs29cP1Sv9wWA,TensorFlow Coding Session #6 TFRecords and Freezing Models,4:57,"5,431",3 years ago
iFZRUwGcrxQ,https://i.ytimg.com/vi/iFZRUwGcrxQ/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDb7wOu5NaqEopd2Pb6ot14HvorMw,#16: tf.function in TensorFlow | Tutorial,25:25,148,3 months ago
F--_SOlufpE,https://i.ytimg.com/vi/F--_SOlufpE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDt6VeJa-0R53InGu_5jnJczEHi_w,TF SavedModel vs HDF5: How to save TF & Keras Models with  Custom Objects?,42:35,"1,572",Streamed 1 year ago
WJZoywOG1cs,https://i.ytimg.com/vi/WJZoywOG1cs/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC1vTg111bTudCGpwmbDWX_1LyusA,"TensorFlow Tutorial 11 - Transfer Learning, Fine Tuning and TensorFlow Hub",17:12,"26,643",1 year ago
HcuDe4XT1P0,https://i.ytimg.com/vi/HcuDe4XT1P0/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD9a9OIX42gLeo_6FKNRK27EG_tKA,Variables and Constants in TensorFlow ðŸ”¥ Pt-10 | Machine Learning using TF,6:10,447,7 months ago
kVEOCfBy9uY,https://i.ytimg.com/vi/kVEOCfBy9uY/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA2mXJGg58VT65kSHTFMst8_Od28Q,Inside TensorFlow: tf.data - TF Input Pipeline,53:52,"30,234",3 years ago
k5c-vg4rjBw,https://i.ytimg.com/vi/k5c-vg4rjBw/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDLnCfjiHVxfX0mK2VlqtfJxO1_hQ,Introducing TensorFlow 2.0 and its high-level APIs (TF Dev Summit '19),22:21,"309,279",3 years ago
h_TKYJyi6Qo,https://i.ytimg.com/vi/h_TKYJyi6Qo/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDNhcNHtU4cjjzEbtk5PwtymKPZvA,It Was Looking Doomed but Then This Happened,29:44,"7,409",17 hours ago
kVEOCfBy9uY,https://i.ytimg.com/vi/kVEOCfBy9uY/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA2mXJGg58VT65kSHTFMst8_Od28Q,Inside TensorFlow: tf.data - TF Input Pipeline,53:52,"30,234",3 years ago
jh4ITuOytE4,https://i.ytimg.com/vi/jh4ITuOytE4/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBHr6EIaYhGcVqY8Ywgdk9oNll6ag,AutoGraph: Easy control flow for graphs (TensorFlow Tip of the Week),2:26,"8,529",3 years ago
HPjBY1H-U4U,https://i.ytimg.com/vi/HPjBY1H-U4U/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB0iU-Zchegx1tuTrWEmVNE7ZXU1w,TensorFlow Tutorial 2 - Tensor Basics,21:01,"71,775",1 year ago
ZnukSLKEw34,https://i.ytimg.com/vi/ZnukSLKEw34/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBa2Tk1xH9te8CbLu2KzTdbipRQjw,Inside TensorFlow: tf.data + tf.distribute,46:24,"18,020",2 years ago
RPocW_aMZKE,https://i.ytimg.com/vi/RPocW_aMZKE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCEvsbbeeWsHxtVbtWVMMspiif8uA,Inside TensorFlow: TF Debugging,38:26,"13,114",2 years ago
_u7AVsxANes,https://i.ytimg.com/vi/_u7AVsxANes/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBDKrWRqmcAqIPrqw4BkDBBCEcEnQ,TensorFlow Tutorial 16 - Custom Training Loops,8:10,"9,852",1 year ago
VFEOskzhhbc,https://i.ytimg.com/vi/VFEOskzhhbc/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLABIM2TAq6Zb7zKCtscAaURMdbsdw,"Tensorflow Input Pipeline | tf Dataset | Deep Learning Tutorial 44 (Tensorflow, Keras & Python)",33:19,"37,476",1 year ago
Up9CvRLIIIw,https://i.ytimg.com/vi/Up9CvRLIIIw/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDc-er7B82NoVVEsSAsLxKAtjoqng,tf.function and Autograph (TF Dev Summit â€˜19),14:38,"29,699",3 years ago
U7g7-Jzj9qo,https://i.ytimg.com/vi/U7g7-Jzj9qo/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLARKZCWuVc-M623GTTW2YUi2s_MKg,Inside TensorFlow: TF-Agents,49:59,"17,471",2 years ago
oXj6ew5ymhM,https://i.ytimg.com/vi/oXj6ew5ymhM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAmHleFP6HEn9QejRYg0AJDqJpMhA,"Using callbacks in training, getting started in TF 2.0, & more! #AskTensorFlow",13:43,"9,104",3 years ago
F--_SOlufpE,https://i.ytimg.com/vi/F--_SOlufpE/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDt6VeJa-0R53InGu_5jnJczEHi_w,TF SavedModel vs HDF5: How to save TF & Keras Models with  Custom Objects?,42:35,"1,572",Streamed 1 year ago
VeV65oVvoes,https://i.ytimg.com/vi/VeV65oVvoes/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDFeK8wat2BreI7vGKYWwtNfHNUUw,tf.data: TensorFlow Input Pipeline,15:02,"1,801",2 years ago
iFZRUwGcrxQ,https://i.ytimg.com/vi/iFZRUwGcrxQ/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDb7wOu5NaqEopd2Pb6ot14HvorMw,#16: tf.function in TensorFlow | Tutorial,25:25,148,3 months ago
4nYwL8ZZDK8,https://i.ytimg.com/vi/4nYwL8ZZDK8/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAqLR2D0fTlKlNdl-qAc2lVAINbbw,Working with Tensors | Î¦-Flow Tutorial 1,8:23,654,9 months ago
6luu829WXG8,https://i.ytimg.com/vi/6luu829WXG8/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDFxugim9_b97sPbH53wLFxYXALBg,Working with tf.data in TensorFlow 2 Meetup,53:52,997,2 years ago
tzKqjPdAf8M,https://i.ytimg.com/vi/tzKqjPdAf8M/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBtk9QEh_ClqGwmwbs29cP1Sv9wWA,TensorFlow Coding Session #6 TFRecords and Freezing Models,4:57,"5,431",3 years ago
WcZ_1IAH_nM,https://i.ytimg.com/vi/WcZ_1IAH_nM/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBdS7W9nU1U4ner4AQVy5k8H6M5RA,TensorFlow Tutorial 8 - Model Subclassing with Keras,22:59,"22,908",1 year ago
ER-EKA_ZMLo,https://i.ytimg.com/vi/ER-EKA_ZMLo/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA1lOUh9L-AkLfKM4BR2fEX5ICDng,An introduction to MLOps with TensorFlow Extended (TFX),13:21,"4,494",2 months ago
gXqHd6-NKBo,https://i.ytimg.com/vi/gXqHd6-NKBo/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDtAtnJZJQTgB_Iqvbms41u6FW9cg,How to Build TensorFlow Pipelines with tf.data.Dataset,30:53,"3,869",1 year ago
S6tLSI8bjGs,https://i.ytimg.com/vi/S6tLSI8bjGs/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDAS3HVeixz9xei1zQDm5mO-EUT7w,TensorFlow Tutorial 15 - Customizing Model.Fit,13:13,"13,439",1 year ago
